provider,model,condition_id,definition_id,prompt_style,label_space,seed,method,n,positives,negatives,tp,tn,fp,fn,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,cohen_kappa,positive_call_rate,brier,log_loss,ece_10,roc_auc,pr_auc,mean_probability
gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17,platt_tuned_threshold,42,32,10,15,9,1,17,0.5714285714285714,0.684375,0.9375,0.46875,0.9,0.625,0.323415144619467,0.23790322580645162,0.38095238095238093,0.1776711919961437,0.5278184506082474,0.13356763119610912,0.6390625,0.8624955028742393,0.7485910557210623
gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17,raw_0.5,42,32,10,14,9,1,18,0.5476190476190477,0.66875,0.9333333333333333,0.4375,0.9,0.5957446808510638,0.3,0.21301775147929003,0.35714285714285715,0.37440476190476185,1.1487361798979976,0.4095238095238095,0.6656249999999999,0.8739472477753727,0.3523809523809524
gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17,raw_tuned_threshold,42,32,10,15,9,1,17,0.5714285714285714,0.684375,0.9375,0.46875,0.9,0.625,0.323415144619467,0.23790322580645162,0.38095238095238093,0.37440476190476185,1.1487361798979976,0.4095238095238095,0.6656249999999999,0.8739472477753727,0.3523809523809524
gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17,stacked_logistic_0.5,42,32,10,32,0,10,0,0.7619047619047619,0.5,0.7619047619047619,1.0,0.0,0.8648648648648649,0.0,0.0,1.0,0.1776637323285591,0.5277948932382507,0.133558820142912,0.6390625,0.8624955028742393,0.7486240173989368
gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17,stacked_logistic_tuned_threshold,42,32,10,15,9,1,17,0.5714285714285714,0.684375,0.9375,0.46875,0.9,0.625,0.323415144619467,0.23790322580645162,0.38095238095238093,0.1776637323285591,0.5277948932382507,0.133558820142912,0.6390625,0.8624955028742393,0.7486240173989368
gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,evidence_gate_tuned,42,32,10,20,7,3,12,0.6428571428571429,0.6625,0.8695652173913043,0.625,0.7,0.7272727272727273,0.2781106573963628,0.2482100238663485,0.5476190476190477,0.2589027023409322,0.6918469781163101,0.28873703091084063,0.7406249999999999,0.8931088060224089,0.47316773099392123
gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,isotonic_0.5,42,32,10,22,3,7,10,0.5952380952380952,0.49375,0.7586206896551724,0.6875,0.3,0.7213114754098361,-0.011516335992621968,-0.011331444759206777,0.6904761904761905,0.2643093547136949,0.9603792486926219,0.25612206802721094,0.6453125,0.861430380419909,0.6656458775510204
gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,isotonic_tuned_threshold,42,32,10,20,7,3,12,0.6428571428571429,0.6625,0.8695652173913043,0.625,0.7,0.7272727272727273,0.2781106573963628,0.2482100238663485,0.5476190476190477,0.2643093547136949,0.9603792486926219,0.25612206802721094,0.6453125,0.861430380419909,0.6656458775510204
gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,platt_0.5,42,32,10,22,3,7,10,0.5952380952380952,0.49375,0.7586206896551724,0.6875,0.3,0.7213114754098361,-0.011516335992621968,-0.011331444759206777,0.6904761904761905,0.21854698209388315,0.5842559739451936,0.22195929773662715,0.6265625,0.8769324797947664,0.653381667082349
gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,platt_tuned_threshold,42,32,10,20,7,3,12,0.6428571428571429,0.6625,0.8695652173913043,0.625,0.7,0.7272727272727273,0.2781106573963628,0.2482100238663485,0.5476190476190477,0.21854698209388315,0.5842559739451936,0.22195929773662715,0.6265625,0.8769324797947664,0.653381667082349
gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,raw_0.5,42,32,10,13,10,0,19,0.5476190476190477,0.703125,1.0,0.40625,1.0,0.5777777777777777,0.37428091976021394,0.2457466918714556,0.30952380952380953,0.3926785714285713,1.2572337310458874,0.4416666666666666,0.7406249999999999,0.8931088060224089,0.32023809523809527
gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,raw_tuned_threshold,42,32,10,20,7,3,12,0.6428571428571429,0.6625,0.8695652173913043,0.625,0.7,0.7272727272727273,0.2781106573963628,0.2482100238663485,0.5476190476190477,0.3926785714285713,1.2572337310458874,0.4416666666666666,0.7406249999999999,0.8931088060224089,0.32023809523809527
gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,stacked_logistic_0.5,42,32,10,22,3,7,10,0.5952380952380952,0.49375,0.7586206896551724,0.6875,0.3,0.7213114754098361,-0.011516335992621968,-0.011331444759206777,0.6904761904761905,0.21855253803199515,0.5842591584811453,0.2219415726126533,0.6265625,0.8769324797947664,0.6534170697529101
gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,stacked_logistic_tuned_threshold,42,32,10,20,7,3,12,0.6428571428571429,0.6625,0.8695652173913043,0.625,0.7,0.7272727272727273,0.2781106573963628,0.2482100238663485,0.5476190476190477,0.21855253803199515,0.5842591584811453,0.2219415726126533,0.6265625,0.8769324797947664,0.6534170697529101
gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,evidence_gate_tuned,42,32,10,12,8,2,20,0.47619047619047616,0.5875,0.8571428571428571,0.375,0.8,0.5217391304347826,0.15811388300841897,0.108108108108108,0.3333333333333333,0.29087134803881654,0.768783866805757,0.3165042978948586,0.671875,0.862369337979094,0.46086339205312654
gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,isotonic_0.5,42,32,10,23,3,7,9,0.6190476190476191,0.509375,0.7666666666666667,0.71875,0.3,0.7419354838709677,0.017677669529663688,0.01754385964912275,0.7142857142857143,0.34195757069720906,3.593314049855464,0.2513411477702191,0.54375,0.8025979662698413,0.584675052532124
gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,isotonic_tuned_threshold,42,32,10,8,9,1,24,0.40476190476190477,0.575,0.8888888888888888,0.25,0.9,0.3902439024390244,0.1556997888323046,0.08376963350785338,0.21428571428571427,0.34195757069720906,3.593314049855464,0.2513411477702191,0.54375,0.8025979662698413,0.584675052532124
gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,platt_0.5,42,32,10,23,3,7,9,0.6190476190476191,0.509375,0.7666666666666667,0.71875,0.3,0.7419354838709677,0.017677669529663688,0.01754385964912275,0.7142857142857143,0.2092581349815797,0.6147877045144801,0.18340574834753975,0.5859375,0.8379648371436722,0.6771824828311996
gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,platt_tuned_threshold,42,32,10,12,8,2,20,0.47619047619047616,0.5875,0.8571428571428571,0.375,0.8,0.5217391304347826,0.15811388300841897,0.108108108108108,0.3333333333333333,0.2092581349815797,0.6147877045144801,0.18340574834753975,0.5859375,0.8379648371436722,0.6771824828311996
gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,raw_0.5,42,32,10,11,9,1,21,0.47619047619047616,0.621875,0.9166666666666666,0.34375,0.9,0.5,0.22980970388562794,0.1444444444444445,0.2857142857142857,0.44054523809523805,1.359746564001319,0.46738095238095234,0.671875,0.862369337979094,0.2945238095238095
gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,raw_tuned_threshold,42,32,10,12,8,2,20,0.47619047619047616,0.5875,0.8571428571428571,0.375,0.8,0.5217391304347826,0.15811388300841897,0.108108108108108,0.3333333333333333,0.44054523809523805,1.359746564001319,0.46738095238095234,0.671875,0.862369337979094,0.2945238095238095
