condition_id,provider,document_id,document_title,n_scored,human_yes,human_no,pred_yes,pred_no,tp,tn,fp,fn,accuracy,balanced_accuracy,precision_yes,recall_yes,specificity,f1_yes,mcc,cohen_kappa,npv,brier_score,schema_valid_rate,evidence_valid_strict_rate,evidence_valid_rate,mean_confidence,input_tokens,output_tokens,estimated_cost_usd,mean_latency_seconds
P3_D1_OLD,openai,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,3,4,3,1,0,3,0.5714285714285714,0.75,1.0,0.5,1.0,0.6666666666666666,0.3535533905932738,0.2222222222222221,0.25,0.386,1.0,1.0,1.0,0.8885714285714286,7588,1325,0.04357437499999999,2.3212976010000506
P3_D2_CURRENT,anthropic,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,8,13,7,4,1,9,0.5238095238095238,0.61875,0.875,0.4375,0.8,0.5833333333333334,0.20830127958541944,0.153225806451613,0.3076923076923077,0.4239761904761905,1.0,0.8571428571428571,0.9047619047619048,0.89,39903,4639,0.063098,2.7248292091428215
P3_D2_CURRENT,anthropic,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,3,11,3,4,0,7,0.5,0.65,1.0,0.3,1.0,0.46153846153846156,0.3302891295379082,0.19672131147540972,0.36363636363636365,0.4408714285714285,1.0,0.6428571428571429,1.0,0.9185714285714284,27377,2921,0.041982000000000005,2.315010189142884
P3_D2_CURRENT,anthropic,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,5,2,5,1,0,1,0.8571428571428571,0.9166666666666667,1.0,0.8333333333333334,1.0,0.9090909090909091,0.6454972243679028,0.588235294117647,0.5,0.15127142857142856,1.0,0.8571428571428571,0.8571428571428571,0.8357142857142857,13111,1490,0.020561,2.73238428042857
P3_D2_CURRENT,gemini,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,4,17,4,5,0,12,0.42857142857142855,0.625,1.0,0.25,1.0,0.4,0.2711630722733202,0.136986301369863,0.29411764705882354,0.5552380952380952,1.0,0.9523809523809523,0.9523809523809523,0.9714285714285713,14445,5222,0.011444250000000001,1.6389290322380627
P3_D2_CURRENT,gemini,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,3,11,3,4,0,7,0.5,0.65,1.0,0.3,1.0,0.46153846153846156,0.3302891295379082,0.19672131147540972,0.36363636363636365,0.48803571428571424,1.0,0.9285714285714286,0.9285714285714286,0.975,10349,3452,0.0077652500000000005,1.496724102642848
P3_D2_CURRENT,gemini,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,3,4,3,1,0,3,0.5714285714285714,0.75,1.0,0.5,1.0,0.6666666666666666,0.3535533905932738,0.2222222222222221,0.25,0.4328571428571428,1.0,0.8571428571428571,0.8571428571428571,0.9571428571428573,4639,1728,0.00375175,1.5461995428572664
P3_D2_CURRENT,openai,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,3,18,3,5,0,13,0.38095238095238093,0.59375,1.0,0.1875,1.0,0.3157894736842105,0.22821773229381923,0.09900990099009888,0.2777777777777778,0.576,1.0,0.9523809523809523,0.9523809523809523,0.9266666666666667,23334,4208,0.135999375,2.809853562000014
P3_D2_CURRENT,openai,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,5,9,5,4,0,5,0.6428571428571429,0.75,1.0,0.5,1.0,0.6666666666666666,0.4714045207910317,0.36363636363636365,0.4444444444444444,0.3275428571428571,1.0,1.0,1.0,0.91,16271,3063,0.09676562500000001,2.7983656089285773
P3_D2_CURRENT,openai,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,2,5,2,1,0,4,0.42857142857142855,0.6666666666666666,1.0,0.3333333333333333,1.0,0.5,0.2581988897471611,0.125,0.2,0.4985,1.0,1.0,1.0,0.9242857142857144,7609,1333,0.04376,2.5075338385713946
